isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol
IE000BXC49I6,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),JGSC,213.0,equity,USD,Ireland,False,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned,
IE000BZ1HVL2,SPDR MSCI World UCITS ETF EUR Hedged (Acc),SPFH,688.0,equity,EUR,Ireland,True,Accumulating,0.17,1311.0,MSCI World (EUR Hedged),
IE000BZFW5H7,JPMorgan Active US Equity UCITS ETF EUR Hedged (acc),JAUH,5.0,equity,EUR,Ireland,True,Accumulating,0.4,74.0,JPMorgan Active US Equity (EUR Hedged),
IE000C5YJ791,iShares MSCI USA Leaders UCITS ETF USD (Acc),ULDE,13.0,equity,USD,Ireland,False,Accumulating,0.12,279.0,MSCI USA Leaders Select,
IE000C692SN6,HSBC MSCI World Small Cap Screened UCITS ETF USD (Acc),H41G,124.0,equity,USD,Ireland,False,Accumulating,0.25,1140.0,MSCI World Small Cap Selection Screens,
IE000C7DDDX4,Franklin FTSE Saudi Arabia UCITS ETF,FLXS,3.0,equity,USD,Ireland,False,Accumulating,0.39,70.0,FTSE Saudi Arabia 30/18 Capped,
IE000CBYU7J5,L&G Emerging Markets ESG Exclusions Paris Aligned UCITS ETF USD Accumulating ETF,BATI,112.0,equity,USD,Ireland,False,Accumulating,0.25,1282.0,Foxberry Sustainability Consensus Emerging Markets,
IE000CFH1JX2,iShares Global Water UCITS ETF USD (Acc),6II0,48.0,equity,USD,Ireland,False,Accumulating,0.65,63.0,S&P Global Water,
IE000CK5G8J7,iShares Global Infrastructure UCITS ETF USD (Acc),CBUX,78.0,equity,USD,Ireland,False,Accumulating,0.65,265.0,FTSE Global Core Infrastructure,
IE000CL68Z69,Amundi MSCI World Climate Paris Aligned UCITS ETF Acc,PABW,1380.0,equity,USD,Ireland,False,Accumulating,0.2,499.0,MSCI World Climate Paris Aligned Filtered,PABW.BE
IE000CM02H85,Franklin FTSE Taiwan UCITS ETF SINGLCLASS,FLXT,141.0,equity,USD,Ireland,False,Accumulating,0.19,128.0,FTSE Taiwan 30/18 Capped,
IE000CN8T855,JPMorgan US Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),JUHE,1074.0,equity,EUR,Ireland,True,Accumulating,0.2,240.0,JP Morgan US Research Enhanced Index Equity (ESG) (EUR Hedged),
IE000COQKPO9,Invesco Nasdaq-100 ESG UCITS ETF Acc,N1ES,2040.0,equity,USD,Ireland,False,Accumulating,0.25,91.0,Nasdaq 100® ESG,
IE000CQQ22C8,JPMorgan Active US Value UCITS ETF EUR Hedged (acc),JPVE,4.0,equity,EUR,Ireland,True,Accumulating,0.49,153.0,JPMorgan Active US Value (EUR Hedged),
IE000CR7DJI8,iShares S&P 500 Scored and Screened UCITS ETF EUR Hedged (Acc),CBUM,317.0,equity,EUR,Ireland,True,Accumulating,0.1,314.0,S&P 500 Scored & Screened (EUR Hedged),
IE000CVOSY02,Franklin FTSE Developed World UCITS ETF USD Capitalisation,DWLD,17.0,equity,USD,Ireland,False,Accumulating,0.09,1416.0,FTSE Developed,
IE000CXVOXQ1,WisdomTree US Quality Dividend Growth UCITS ETF - EUR Hedged Acc,WDGE,41.0,equity,EUR,Ireland,True,Accumulating,0.35,300.0,WisdomTree US Quality Dividend Growth (EUR Hedged),
IE000CY30YV9,First Trust US Momentum UCITS ETF Class A Accumulation,FTGM,71.0,equity,USD,Ireland,False,Accumulating,0.6,180.0,iNDEX US Momentum,
IE000D0T0BO1,Franklin FTSE Japan UCITS ETF (Acc),FLXJ,9.0,equity,JPY,Ireland,False,Accumulating,0.09,485.0,FTSE Japan,
IE000D5R9C23,iShares Asia ex Japan Equity Enhanced Active UCITS ETF USD (Acc),AZEH,64.0,equity,USD,Ireland,False,Accumulating,0.3,289.0,iShares Asia ex Japan Equity Enhanced Active,
IE000D8FCSD8,iShares Listed Private Equity UCITS ETF USD (Acc),CBUW,91.0,equity,USD,Ireland,False,Accumulating,0.75,94.0,S&P Listed Private Equity,
