isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,1 year,3 year,5 year
FR0014003FW1,Amundi MSCI World Climate Paris Aligned Umweltzeichen UCITS ETF ,PABV,367.0,equity,USD,France,False,Accumulating,0.25,826.0,MSCI World Climate Change Paris Aligned Low Carbon Select,,+0.06%,+62.82%,-
FR001400YYJ0,Finanzen.net MSCI World UCITS ETF Acc,FINZ,13.0,equity,USD,France,False,Accumulating,0.12,1321.0,MSCI World,,-,-,-
IE00000EF730,iShares Europe Equity Enhanced Active UCITS ETF EUR (Acc),EUEE,554.0,equity,EUR,Ireland,False,Accumulating,0.25,235.0,iShares Europe Equity Enhanced Active,,+14.34%,-,-
IE00002ZKAP0,Xtrackers Europe Equity Enhanced Active UCITS ETF 1C,XEEE,62.0,equity,EUR,Ireland,False,Accumulating,0.25,201.0,Xtrackers Europe Equity Enhanced Active,,-,-,-
IE00004PGEY9,JPMorgan Eurozone Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JREZ,555.0,equity,EUR,Ireland,False,Accumulating,0.25,110.0,JP Morgan Eurozone Research Enhanced Index Equity (ESG),,+15.61%,+51.13%,-
IE0000902GT6,WisdomTree Megatrends UCITS ETF USD,WMGT,30.0,equity,USD,Ireland,False,Accumulating,0.5,724.0,WisdomTree Global Megatrends Equity,,+12.99%,-,-
IE0000CRTTJ9,Amundi MSCI World ESG Broad Transition UCITS ETF EUR Hedged (Acc),LWCH,3.0,equity,EUR,Ireland,True,Accumulating,0.25,1143.0,MSCI World ESG Broad CTB Select (EUR Hedged),,-,-,-
IE0000EAPBT6,JPMorgan US Equity Premium Income Active UCITS ETF USD (acc),JEIA,25.0,equity,USD,Ireland,False,Accumulating,0.35,230.0,JPMorgan US Equity Premium Income Active,,-4.10%,-,-
IE0000GXRR13,Ossiam Shiller Barclays CAPE® US Sector Screened UCITS ETF 1A/A (EUR),EUPD,89.0,equity,EUR,Ireland,False,Accumulating,0.75,166.0,Ossiam Shiller Barclays CAPE® US Sector Screened,,-7.15%,-,-
IE0000H445G8,VanEck New China UCITS ETF A,CNIE,7.0,equity,USD,Ireland,False,Accumulating,0.6,100.0,MarketGrader New China ESG,,+5.49%,-6.80%,-
IE0000LVTJ08,BNP Paribas Easy ESG Enhanced US UCITS ETF EUR Acc,LM9D,249.0,equity,EUR,Ireland,False,Accumulating,0.2,255.0,BNP Paribas Easy ESG Enhanced US,,-1.22%,-,-
IE0000MMQ5M5,Xtrackers MSCI USA ESG UCITS ETF 2C - EUR Hedged,XZME,145.0,equity,EUR,Ireland,True,Accumulating,0.2,249.0,MSCI USA Low Carbon SRI Selection (EUR Hedged),,+11.00%,+62.82%,-
IE0000P0RPE6,iShares World Equity High Income UCITS ETF USD (Acc),WINA,14.0,equity,USD,Ireland,False,Accumulating,0.35,317.0,iShares World Equity High Income,,+5.11%,-,-
IE0000U24AJ9,Amundi MSCI USA SRI Climate Paris Aligned UCITS ETF Acc EUR Hedged,USRIH,190.0,equity,EUR,Ireland,True,Accumulating,0.2,90.0,MSCI USA SRI Filtered PAB (EUR Hedged),USRIH.MI,+3.60%,+25.05%,+28.48%
IE0000UW95D6,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF EUR Hedged (acc),JRGE,831.0,equity,EUR,Ireland,True,Accumulating,0.25,667.0,JP Morgan Global Research Enhanced Index Equity (ESG) (EUR Hedged),,+12.46%,+58.67%,-
IE0000VX9GN7,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF Acc,IN0A,125.0,equity,USD,Ireland,False,Accumulating,0.13,314.0,S&P 500 Scored & Screened,,+1.58%,-,-
IE0000XTDDA8,Global X Artificial Intelligence UCITS ETF USD Accumulating,QAIU,38.0,equity,USD,Ireland,False,Accumulating,0.4,84.0,Indxx Artificial Intelligence,,+2.92%,-,-
IE0000ZVYDH0,Amundi MSCI ACWI SRI Climate Paris Aligned UCITS ETF DR - USD,WELA,102.0,equity,USD,Ireland,False,Accumulating,0.2,399.0,MSCI ACWI SRI Filtered PAB,,+6.18%,+37.45%,-
IE000130VPV5,BNP Paribas Easy ESG Enhanced US UCITS ETF USD Acc,LM9A,30.0,equity,USD,Ireland,False,Accumulating,0.2,255.0,BNP Paribas Easy ESG Enhanced US,,-1.16%,-,-
IE00016PSX47,Amundi MSCI World ESG Selection UCITS ETF Acc,MWOP,1789.0,equity,USD,Ireland,False,Accumulating,0.18,674.0,MSCI World ESG Selection P-Series 5% Issuer Capped,,+4.90%,+49.02%,+73.15%
IE00018LB0D8,Invesco S&P World Financials ESG UCITS ETF Acc,WF1E,4.0,equity,USD,Ireland,False,Accumulating,0.18,145.0,S&P Developed Ex-Korea LargeMidCap ESG Enhanced Financials,,+1.10%,-,-
IE0001A541Y3,JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF JPY (acc),JJEJ,151.0,equity,JPY,Ireland,False,Accumulating,0.25,123.0,JP Morgan Japan Research Enhanced Index Equity (ESG),,+22.37%,+56.54%,-
IE0001DKJVC2,Amundi MSCI World Minimum Volatility Advanced UCITS ETF Acc,WMMV,187.0,equity,USD,Ireland,False,Accumulating,0.25,262.0,MSCI World Minimum Volatility Advanced Target,,-3.82%,-,-
IE0001FQFU60,Amundi MSCI World Momentum Advanced UCITS ETF Acc,WMSE,241.0,equity,USD,Ireland,False,Accumulating,0.25,180.0,MSCI World Momentum Advanced Target,,+11.05%,-,-
IE0001GSQ2O9,Amundi MSCI World ESG Broad Transition UCITS ETF Acc,LWCR,1093.0,equity,EUR,Ireland,False,Accumulating,0.2,1143.0,MSCI World ESG Broad CTB Select,,+2.28%,-,-
IE0001JABD69,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF EUR Hedged (acc),JRWE,10.0,equity,EUR,Ireland,True,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active (EUR Hedged),,+14.62%,-,-
IE0001JH5CB4,Xtrackers Europe Net Zero Pathway Paris Aligned UCITS ETF 1C,XEPA,6.0,equity,EUR,Ireland,False,Accumulating,0.15,306.0,Solactive ISS ESG Developed Markets Europe Net Zero Pathway,,+7.77%,+32.84%,-
IE0001O9L5K4,ODDO BHF Global Equity Active UCITS ETF (Acc),OBGE,4.0,equity,EUR,Ireland,False,Accumulating,0.35,3917.0,ODDO BHF Global Equity Active,,-,-,-
IE0001R850E1,First Trust SMID Rising Dividend Achievers UCITS ETF Class A Accumulation,FTGD,223.0,equity,USD,Ireland,False,Accumulating,0.6,181.0,Nasdaq US Small Mid Cap Rising Dividend Achievers,FTGD.BE,+2.02%,-,-
IE0001TLQX55,Xtrackers S&P 500 GARP UCITS ETF 1C,XUGA,8.0,equity,USD,Ireland,False,Accumulating,0.25,100.0,S&P 500 GARP 100,,-,-,-
IE0001UQQ933,L&G Gerd Kommer Multifactor Equity UCITS ETF USD Accumulating,GERD,869.0,equity,USD,Ireland,False,Accumulating,0.45,4162.0,Solactive Gerd Kommer Multifactor Equity,,+7.87%,-,-
IE0001YGXFO5,iShares MSCI World Climate Transition Aware UCITS ETF USD (Acc),WCTA,6.0,equity,USD,Ireland,False,Accumulating,0.2,767.0,MSCI World Transition Aware Select,,+2.42%,-,-
IE00023EZQ82,iShares Digital Entertainment and Education UCITS ETF USD (Acc),CBUN,62.0,equity,USD,Ireland,False,Accumulating,0.4,86.0,STOXX® Global Digital Entertainment and Education,,-7.45%,+78.44%,-
IE0002EI5AG0,Xtrackers S&P 500 Equal Weight UCITS ETF 2C EUR Hedged,XDEE,1162.0,equity,EUR,Ireland,True,Accumulating,0.3,503.0,S&P 500® Equal Weight (EUR Hedged),,+10.33%,+28.83%,-
IE0002EKOXU6,iShares Russell 1000 Value UCITS ETF USD (Acc),R1VL,337.0,equity,USD,Ireland,False,Accumulating,0.18,847.0,Russell 1000 Value UCITS 30/18 Capped,,+2.52%,-,-
IE0002PGSLZ5,Xtrackers US Equity Enhanced Active UCITS ETF 1C,XEEU,158.0,equity,USD,Ireland,False,Accumulating,0.2,184.0,Xtrackers US Equity Enhanced Active,,-,-,-
IE0002SCQ8X0,iShares MSCI Japan ESG Enhanced CTB UCITS ETF EUR Hedged (Acc),CEB3,66.0,equity,EUR,Ireland,True,Accumulating,0.18,174.0,MSCI Japan ESG Enhanced Focus CTB (EUR Hedged),,+42.11%,-,-
IE0002THYAT9,UBS MSCI World ex Mega Cap UCITS ETF USD acc,WXMC,31.0,equity,USD,Ireland,False,Accumulating,0.12,1271.0,MSCI World Ex Mega Cap Specified,,-,-,-
IE0002XFS025,Fidelity Global Quality Value UCITS ETF ACC-USD,FGLV,4.0,equity,USD,Ireland,False,Accumulating,0.3,296.0,Fidelity Global Quality Value,,+6.58%,-,-
IE0002ZM3JI1,Xtrackers USA Net Zero Pathway Paris Aligned UCITS ETF 1C,XNUS,11.0,equity,USD,Ireland,False,Accumulating,0.1,334.0,Solactive ISS ESG United States Net Zero Pathway,,-2.72%,+48.67%,-
IE00036F4K40,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF 1C,XDG3,23.0,equity,USD,Ireland,False,Accumulating,0.35,115.0,MSCI ACWI IMI SDG 3 Good Health and Well-being Select,,-3.04%,-,-
IE0003B4BV34,UBS MSCI USA Tech 125 Universal UCITS ETF USD acc,CSYU,33.0,equity,USD,Ireland,False,Accumulating,0.18,124.0,MSCI USA Tech 125 Universal,,-1.87%,-,-
IE0003B6RHN4,JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF CHF Hedged (acc),JJEC,3.0,equity,CHF,Ireland,True,Accumulating,0.25,123.0,JP Morgan Japan Research Enhanced Index Equity (ESG) (CHF Hedged),,+44.30%,+120.69%,-
IE0003IT72N9,AXA IM ACT Biodiversity Equity UCITS ETF EUR Hedged Acc,ABIE,117.0,equity,EUR,Ireland,True,Accumulating,0.53,97.0,AXA IM ACT Biodiversity Equity (EUR Hedged),,+14.34%,+33.96%,-
IE0003JSNHV9,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR (acc),JEGS,258.0,equity,EUR,Ireland,False,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned,,+2.86%,-,-
IE0003NQ0IY5,Xtrackers MSCI World Quality ESG UCITS ETF 1C,XWEQ,129.0,equity,USD,Ireland,False,Accumulating,0.25,150.0,MSCI World Quality Low Carbon SRI Screened Select,,+3.13%,-,-
IE0003RA2ZR3,Invesco FTSE All Share Screened & Tilted UCITS ETF Acc,FASA,12.0,equity,GBP,Ireland,False,Accumulating,0.12,79.0,FTSE All-Share ex Investment Trusts ESG Climate Select,,+12.88%,+36.26%,-
IE0003UN5CT1,JPMorgan Europe Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),JESE,8.0,equity,EUR,Ireland,False,Accumulating,0.25,190.0,JP Morgan Europe Research Enhanced Index Equity SRI Paris Aligned Active,,+14.25%,-,-
IE0003VC1PW8,UBS MSCI AC Asia ex Japan Selection UCITS ETF USD acc,AAXJSI,9.0,equity,USD,Ireland,False,Accumulating,0.3,403.0,MSCI AC Asia ex Japan Selection Low Carbon Select 5% Issuer Capped,,+22.36%,-,-
IE0003WEWAX4,Franklin Future Of Health And Wellness UCITS ETF ,FOHW,2.0,equity,USD,Ireland,False,Accumulating,0.3,95.0,Solactive Sustainable Health and Wellness,,-6.01%,-,-
IE0003XJA0J9,Amundi Prime All Country World UCITS ETF Acc,WEBN,1013.0,equity,USD,Ireland,False,Accumulating,0.07,2438.0,Solactive GBS Global Markets Large & Mid Cap,,+5.77%,-,-
IE0004993469,UBS MSCI USA ex Mega Cap UCITS ETF USD acc,UXMC,2.0,equity,USD,Ireland,False,Accumulating,0.12,526.0,MSCI USA Ex Mega Cap Specified,,-,-,-
IE0004CIQ1O4,Amundi MSCI World ESG Selection UCITS ETF EUR Hedged Acc,MWOS,123.0,equity,EUR,Ireland,True,Accumulating,0.2,674.0,MSCI World ESG Selection P-Series 5% Issuer Capped (EUR Hedged),,+14.11%,-,-
IE0004HBJKG0,BNP Paribas Easy MSCI ACWI SRI S-Series PAB 5% Capped UCITS ETF EUR Acc,ESAB,15.0,equity,EUR,Ireland,False,Accumulating,0.2,1674.0,MSCI ACWI SRI S-Series PAB 5% Capped,,-0.43%,-,-
IE0004I037N4,Franklin FTSE Emerging Markets UCITS ETF USD Capitalisation,EMGM,11.0,equity,USD,Ireland,False,Accumulating,0.11,1485.0,FTSE Emerging,,+15.51%,-,-
IE0004J37T45,BNP Paribas Easy S&P 500 Scored and Screened UCITS ETF EUR Acc,IN0B,524.0,equity,EUR,Ireland,False,Accumulating,0.13,314.0,S&P 500 Scored & Screened,,+1.62%,-,-
IE0004MFRED4,Xtrackers S&P 500 Equal Weight Scored & Screened UCITS ETF 1C,XZEW,1273.0,equity,USD,Ireland,False,Accumulating,0.17,279.0,S&P 500 Equal Weight Scored & Screened,,+1.29%,+27.10%,-
IE0004TFW0R5,Amundi MSCI USA ESG Leaders Extra UCITS ETF Acc EUR Hedged,MWOU,33.0,equity,EUR,Ireland,True,Accumulating,0.17,307.0,MSCI USA Select ESG Rating and Trend Leaders (EUR Hedged),,+11.74%,-,-
IE0004U3TX15,L&G Metaverse UCITS ETF USD Acc,MTVR,8.0,equity,USD,Ireland,False,Accumulating,0.39,62.0,iStoxx Access Metaverse,,+22.47%,+131.33%,-
IE0004YRJHW4,UBS MSCI Canada Universal UCITS ETF CAD acc,BCFD,115.0,equity,CAD,Ireland,False,Accumulating,0.33,69.0,MSCI Canada Universal Low Carbon Select 5% Issuer Capped,,+17.21%,-,-
IE00050J4789,BNP Paribas Easy MSCI USA Small Cap Min TE UCITS ETF EUR Acc,ESAG,46.0,equity,EUR,Ireland,False,Accumulating,0.25,1442.0,MSCI USA Small Cap Select Filtered Min TE,,-,-,-
IE00053WDH64,Invesco Hydrogen Economy UCITS ETF Acc,HYDE,4.0,equity,USD,Ireland,False,Accumulating,0.6,63.0,WilderHill Hydrogen Economy,,+46.71%,-4.72%,-
IE00058B19U6,Amundi S&P 500 Climate Paris Aligned UCITS ETF Acc EUR Hedged,PABH,429.0,equity,EUR,Ireland,True,Accumulating,0.25,270.0,S&P 500 Net Zero 2050 Paris-Aligned ESG+ (EUR Hedged),,+7.92%,-,-
IE00058MW3M8,Amundi S&P 500 Screened UCITS ETF Acc EUR Hedged,S500H,1246.0,equity,EUR,Ireland,True,Accumulating,0.28,307.0,S&P 500 Scored & Screened+ (EUR Hedged),S500H.PA,+15.76%,-,-
IE00059GZ051,SPDR MSCI Resilient Future UCITS ETF USD Unhedged (Acc),SUST,4.0,equity,USD,Ireland,False,Accumulating,0.3,203.0,MSCI ACWI IMI Resilient Future Select 35/20 Capped,,-,-,-
IE0005CH3U28,JPMorgan Active US Growth UCITS ETF USD (acc),JPGR,360.0,equity,USD,Ireland,False,Accumulating,0.5,102.0,JPMorgan Active US Growth,,-8.58%,-,-
IE0005E47AH7,Xtrackers MSCI Global SDG 9 Industry Innovation & Infrastructure UCITS ETF 1C,SDG9,4.0,equity,USD,Ireland,False,Accumulating,0.35,89.0,"MSCI ACWI IMI SDG 9 Industry, Innovation and Infrastructure Select",,+46.15%,+0.13%,-
IE0005E8B9S4,Amundi Russell 1000 Growth UCITS ETF Acc,MWOW,570.0,equity,USD,Ireland,False,Accumulating,0.19,363.0,Russell 1000® Growth,,-5.15%,+71.79%,+84.06%
IE0005MWBFR7,JPMorgan Global Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JGIE,90.0,equity,EUR,Ireland,False,Accumulating,0.25,667.0,JP Morgan Global Research Enhanced Index Equity (ESG),,+3.06%,-,-
IE000629MKR4,BNP Paribas Easy ESG Enhanced World UCITS ETF USD Acc,LM9B,9.0,equity,USD,Ireland,False,Accumulating,0.2,686.0,BNP Paribas Easy ESG Enhanced World,,+4.44%,-,-
IE00063GNWK1,UBS MSCI USA Selection UCITS ETF USD acc,CSY2,2143.0,equity,USD,Ireland,False,Accumulating,0.1,264.0,MSCI USA Selection,CSY2.DE,+1.94%,-,-
IE00069JGT58,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),JSUE,463.0,equity,USD,Ireland,False,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned,,-4.26%,-,-
IE0006D3PGW3,Franklin FTSE Emerging ex China UCITS ETF USD Capitalisation,EXCN,3.0,equity,USD,Ireland,False,Accumulating,0.11,940.0,FTSE Emerging ex China,,+18.64%,-,-
IE0006FAD976,Franklin S&P 500 Screened UCITS ETF Acc,FSPU,3.0,equity,USD,Ireland,False,Accumulating,0.09,411.0,S&P 500 Guarded,,-,-,-
IE0006FFX5U1,Xtrackers MSCI Innovation UCITS ETF 1C,XNNV,7.0,equity,USD,Ireland,False,Accumulating,0.3,183.0,MSCI ACWI IMI Innovation Select Screened 200,,-9.41%,+38.07%,-
IE0006FM6MI8,Amundi S&P Global Health Care ESG UCITS ETF DR EUR (A),WELS,254.0,equity,EUR,Ireland,False,Accumulating,0.18,86.0,S&P Developed Ex-Korea LargeMidCap Sustainability Enhanced Health Care,,-4.52%,+12.75%,-
IE0006HMLPV6,JPMorgan US Research Enhanced Index Equity SRI Paris Aligned UCITS ETF EUR Hedged (acc),JSHE,128.0,equity,EUR,Ireland,True,Accumulating,0.2,178.0,JP Morgan US Research Enhanced Index Equity SRI Paris Aligned (EUR Hedged),,+6.35%,-,-
IE0006IP4XZ8,Amundi MSCI USA ESG Broad Transition UCITS ETF Acc,WEB2,3037.0,equity,EUR,Ireland,False,Accumulating,0.07,491.0,MSCI USA ESG Broad CTB Select,,-2.40%,-,-
IE0006O3TTP9,BNP Paribas Easy ECPI Global ESG Infrastructure UCITS ETF USD Capitalisation,BJLB,23.0,equity,USD,Ireland,False,Accumulating,0.31,100.0,ECPI Global ESG Infrastructure Equity,,+20.41%,-,-
IE0006PTRUI8,iShares MSCI EMU Climate Transition Aware UCITS ETF EUR (Acc),MCTA,3.0,equity,EUR,Ireland,False,Accumulating,0.12,155.0,MSCI EMU Transition Aware Select,,+15.87%,-,-
IE0006RFB3X2,HSBC MSCI Japan UCITS ETF USD (Acc),HMJA,12.0,equity,USD,Ireland,False,Accumulating,0.12,182.0,MSCI Japan,,+24.66%,+62.55%,-
IE0006SEWKA2,JPMorgan Global Emerging Markets Research Enhanced Index Equity (ESG) UCITS ETF EUR (acc),JEEM,7.0,equity,EUR,Ireland,False,Accumulating,0.3,371.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity (ESG),,+25.87%,-,-
IE0006VDD4K1,Invesco FTSE All-World UCITS ETF EUR PfHdg Acc,FWEA,34.0,equity,EUR,Ireland,True,Accumulating,0.2,519.0,FTSE All-World (EUR Hedged),,+14.87%,-,-
IE0006WOV4I9,Franklin S&P World Screened UCITS ETF Acc,FSPW,6.0,equity,USD,Ireland,False,Accumulating,0.14,807.0,S&P World Guarded,,-,-,-
IE0006WW1TQ4,Xtrackers MSCI World ex USA UCITS ETF 1C,EXUS,4304.0,equity,USD,Ireland,False,Accumulating,0.15,765.0,MSCI World ex USA,,+16.00%,-,-
IE000716YHJ7,Invesco FTSE All-World UCITS ETF Acc,FWIA,2243.0,equity,USD,Ireland,False,Accumulating,0.15,519.0,FTSE All-World,,+5.81%,-,-
IE00074JLU02,Xtrackers Japan Net Zero Pathway Paris Aligned UCITS ETF 1C,XNJP,115.0,equity,USD,Ireland,False,Accumulating,0.15,231.0,Solactive ISS ESG Japan Net Zero Pathway,,+8.48%,+31.83%,-
IE00077IIPQ8,WisdomTree Global Efficient Core UCITS ETF USD Unhedged Acc,NTSG,42.0,equity,USD,Ireland,False,Accumulating,0.25,329.0,WisdomTree Global Efficient Core,,+3.12%,-,-
IE0007FM00T9,iShares U.S. Equity High Income UCITS ETF USD (Acc),INCI,2.0,equity,USD,Ireland,False,Accumulating,0.35,218.0,iShares U.S. Equity High Income,,-1.62%,-,-
IE0007HKA9K1,L&G Global Brands UCITS ETF USD Acc,TOPB,46.0,equity,USD,Ireland,False,Accumulating,0.39,79.0,Solactive BrandFinance Global Brands,,-0.97%,-,-
IE0007I99HX7,VanEck Morningstar US Wide Moat UCITS ETF A,WMOT,42.0,equity,USD,Ireland,False,Accumulating,0.46,53.0,Morningstar Wide Moat Focus,,+1.83%,-,-
IE0007M3MLF3,WisdomTree Global Quality Dividend Growth UCITS ETF EUR Hedged Acc,WGRU,9.0,equity,EUR,Ireland,True,Accumulating,0.43,474.0,WisdomTree Global Developed Quality Dividend Growth (EUR Hedged),,+7.89%,-,-
IE0007P4PBU1,HSBC MSCI China UCITS ETF USD (Acc),H4Z6,127.0,equity,USD,Ireland,False,Accumulating,0.28,560.0,MSCI China,,+5.55%,+14.54%,-
IE0007QB4QS2,BNP Paribas Easy ESG Enhanced World UCITS ETF EUR Capitalisation,LM9C,403.0,equity,EUR,Ireland,False,Accumulating,0.2,686.0,BNP Paribas Easy ESG Enhanced World,,+3.32%,-,-
IE0007UJ6IE0,Invesco Dow Jones US Insurance UCITS ETF Acc,INSU,106.0,equity,USD,Ireland,False,Accumulating,0.35,55.0,Dow Jones U.S. Select Insurance,,-7.87%,-,-
IE0007ULOZS8,Xtrackers S&P 500 Scored & Screened UCITS ETF 1C,XZSP,94.0,equity,USD,Ireland,False,Accumulating,0.08,314.0,S&P 500 Scored & Screened,,+1.62%,+56.96%,-
IE0007WJ6B10,Xtrackers MSCI Global Clean Water & Sanitation UCITS ETF 1C,XDG6,7.0,equity,USD,Ireland,False,Accumulating,0.35,75.0,MSCI ACWI IMI SDG 6 Clean Water and Sanitation Select,,-5.38%,+5.89%,-
IE0007WMHDE3,HANetf Making Europe Great Again UCITS ETF Acc,ASWA,5.0,equity,EUR,Ireland,False,Accumulating,0.6,58.0,VettaFi Making Europe Great Again,,+34.52%,-,-
IE00085PWS28,Amundi MSCI World Ex USA UCITS ETF Acc,WEXE,504.0,equity,USD,Ireland,False,Accumulating,0.15,775.0,MSCI World ex USA,,+17.81%,-,-
IE0008D0AIU9,BNP Paribas Easy MSCI World Equal Weight Select UCITS ETF EUR Acc,ESAE,30.0,equity,EUR,Ireland,False,Accumulating,0.2,1048.0,MSCI World Equal Weighted Ex Business Involvement Screens Select,,-,-,-
IE0008FB2WZ1,BNP Paribas Easy MSCI World Min TE UCITS ETF USD Acc,ASRW,124.0,equity,USD,Ireland,False,Accumulating,0.16,1025.0,MSCI World Select Filtered Min TE,,+2.85%,-,-
IE0008JXFQK8,HSBC PLUS USA Equity Quant Active UCITS ETF USD Acc,H41Z,74.0,equity,USD,Ireland,False,Accumulating,0.15,315.0,HSBC PLUS USA Equity Quant Active,,-,-,-
IE0008M1R3N4,Franklin US Mega Cap 100 UCITS ETF Acc,USMC,90.0,equity,USD,Ireland,False,Accumulating,0.09,101.0,Solactive US Mega Cap 100 Select,,-,-,-
IE0008RX29L5,Invesco Wind Energy UCITS ETF Acc,WDEY,6.0,equity,USD,Ireland,False,Accumulating,0.6,71.0,WilderHill Wind Energy,,+43.87%,+34.02%,-
IE0008YN0OY8,Xtrackers MSCI World Minimum Volatility ESG UCITS ETF 1C,XWEB,16.0,equity,USD,Ireland,False,Accumulating,0.25,275.0,MSCI World Minimum Volatility Low Carbon SRI Screened Select,,-1.43%,-,-
IE00094GSCQ4,Xtrackers World Equity Enhanced Active UCITS ETF 1C,XEEW,309.0,equity,USD,Ireland,False,Accumulating,0.25,346.0,Xtrackers World Equity Enhanced Active,,-,-,-
IE00099GAJC6,iShares MSCI China A UCITS ETF EUR Hedged (Acc),CNYE,344.0,equity,EUR,Ireland,True,Accumulating,0.45,385.0,MSCI China A Inclusion (EUR Hedged),,+23.96%,+19.56%,-
IE0009DRDY20,Amundi Prime Global UCITS ETF Acc,F50A,1093.0,equity,USD,Ireland,False,Accumulating,0.05,1388.0,Solactive GBS Developed Markets Large & Mid Cap,,+4.75%,-,-
IE0009EGAHL0,Invesco US Enhanced Equity UCITS ETF Acc,IQUA,51.0,equity,USD,Ireland,False,Accumulating,0.16,233.0,Invesco US Enhanced Equity,,-,-,-
IE0009QS7W62,iShares MSCI World Health Care Sector Advanced UCITS ETF USD (Acc),CBUR,161.0,equity,USD,Ireland,False,Accumulating,0.18,117.0,MSCI World Health Care Advanced Select 20 35 Capped,,-0.81%,+6.10%,-
IE0009TJ5T70,JPMorgan Carbon Transition Global Equity (CTB) UCITS ETF EUR (acc),JPEC,131.0,equity,EUR,Ireland,False,Accumulating,0.19,359.0,Solactive JP Morgan Asset Management Carbon Transition Global Equity,,+1.03%,-,-
IE0009VWHAE6,iShares US Equity Enhanced Active UCITS ETF USD (Acc),USEE,906.0,equity,USD,Ireland,False,Accumulating,0.2,254.0,iShares US Equity Enhanced Active,,-0.73%,-,-
IE0009W21NT4,UBS MSCI World Selection UCITS ETF hEUR acc,CSY7,44.0,equity,EUR,Ireland,True,Accumulating,0.18,649.0,MSCI World Selection (EUR Hedged),CSY7.DE,+14.50%,-,-
