isin,name,ticker,size,asset_class,currency,domicile_country,hedged,dividends,ter,number_of_holdings,index,symbol,Fund size,Volatility,1 year,3 year,5 year
IE000A0GH076,BNP Paribas Easy MSCI World UCITS ETF EUR Acc,ESAN,63.0,equity,EUR,Ireland,False,Accumulating,0.05,1319.0,MSCI World,,EUR 141 m,-,-,-,-
IE000A7N3IV0,JPMorgan All Country Research Enhanced Index Equity Active UCITS ETF USD (acc),JRWA,172.0,equity,USD,Ireland,False,Accumulating,0.25,1032.0,JP Morgan All Country Research Enhanced Index Equity Active,,EUR 201 m,9.55%,+24.83%,-,-
IE000A89Y2G7,iShares MSCI World Utilities Sector Advanced UCITS ETF USD (Acc),WUTS,7.0,equity,USD,Ireland,False,Accumulating,0.18,55.0,MSCI World Utilities Advanced Select 20 35 Capped,,EUR 11 m,11.89%,+17.78%,-,-
IE000AIFGRB9,Invesco S&P World Energy Targeted & Screened UCITS ETF Acc,WDEE,19.0,equity,USD,Ireland,False,Accumulating,0.18,28.0,S&P Developed Ex-Korea LargeMidCap ESG Enhanced Energy,,EUR 29 m,18.14%,+32.35%,+51.35%,-
IE000ALI2E45,BNP Paribas Easy MSCI World Equal Weight Select UCITS ETF USD Acc,ESAF,22.0,equity,USD,Ireland,False,Accumulating,0.2,1048.0,MSCI World Equal Weighted Ex Business Involvement Screens Select,,EUR 23 m,8.91%,+15.77%,-,-
IE000AN3AFZ1,Jupiter Origin Global Smaller Companies Active UCITS ETF (Acc),JOGS,1.0,equity,USD,Ireland,False,Accumulating,0.45,181.0,Jupiter Origin Global Smaller Companies Active,,EUR 18 m,-,-,-,-
IE000ANHU3J3,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF USD (acc),JMES,116.0,equity,USD,Ireland,False,Accumulating,0.3,280.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active,,EUR 167 m,17.27%,+52.73%,-,-
IE000AON7ET1,ARK Space & Defence Innovation UCITS ETF USD (Acc),ARXX,13.0,equity,USD,Ireland,False,Accumulating,0.75,28.0,ARK Space & Defence Innovation,,EUR 29 m,-,-,-,-
IE000ASNLWH9,Nordea BetaPlus Enhanced Global Sustainable Equity UCITS ETF USD (Acc),BPGE,,equity,USD,Ireland,False,Accumulating,0.25,,Nordea BetaPlus Enhanced Global Sustainable Equity,,"EUR 2,104 m",-,-,-,-
IE000ATRYEA4,iShares MSCI USA SRI UCITS ETF EUR Hedged (Acc),CEMI,6.0,equity,EUR,Ireland,True,Accumulating,0.23,153.0,MSCI USA SRI Select Reduced Fossil Fuels (EUR Hedged),,EUR 10 m,-,-,-,-
IE000AV35A01,JPMorgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active UCITS ETF EUR (acc),JESM,2.0,equity,EUR,Ireland,False,Accumulating,0.3,280.0,JP Morgan Global Emerging Markets Research Enhanced Index Equity SRI Paris Aligned Active,,EUR 3 m,17.32%,+52.56%,-,-
IE000AWRDWI7,Invesco ChiNext 50 UCITS ETF Acc,CNFY,47.0,equity,USD,Ireland,False,Accumulating,0.49,48.0,ChiNext 50 Capped,,EUR 130 m,29.93%,+136.12%,-,-
IE000AXIKJM8,AXA IM MSCI USA Equity PAB UCITS ETF USD Acc,AIUT,39.0,equity,USD,Ireland,False,Accumulating,0.13,,MSCI USA Climate Paris Aligned,,EUR 40 m,12.90%,+22.88%,-,-
IE000AZOUN82,Franklin MSCI World Catholic Principles UCITS ETF USD Capitalisation,FLXA,149.0,equity,USD,Ireland,False,Accumulating,0.27,629.0,MSCI World Select Catholic Principles ESG Universal and Low Carbon,,EUR 164 m,12.83%,+21.89%,-,-
IE000AZV0AS3,Amundi MSCI World IMI Value Advanced UCITS ETF Acc,WMMS,193.0,equity,USD,Ireland,False,Accumulating,0.25,344.0,MSCI World IMI Value Advanced Target,,EUR 475 m,10.99%,+35.99%,-,-
IE000B9PQW54,VanEck Genomics and Healthcare Innovators UCITS ETF A,CURE,14.0,equity,USD,Ireland,False,Accumulating,0.35,45.0,MVIS Global Future Healthcare ESG,,EUR 11 m,18.08%,+3.79%,-5.42%,-
IE000BAF6X29,UBS MSCI Pacific ex Japan IMI Socially Responsible UCITS ETF hEUR acc,PEXE,2.0,equity,EUR,Ireland,True,Accumulating,0.22,137.0,MSCI Pacific ex Japan IMI Extended SRI Low Carbon Select 5% Issuer Capped (EUR Hedged),,EUR 1 m,11.14%,+2.77%,+27.28%,-
IE000BI8OT95,Amundi Core MSCI World UCITS ETF Acc,MWRE,12149.0,equity,USD,Ireland,False,Accumulating,0.12,1321.0,MSCI World,,"EUR 13,517 m",10.07%,+23.36%,-,-
IE000BKMMHF9,UBS MSCI Pacific ex Japan IMI Socially Responsible UCITS ETF USD acc,BCFB,4.0,equity,USD,Ireland,False,Accumulating,0.19,137.0,MSCI Pacific ex Japan IMI Extended SRI Low Carbon Select 5% Issuer Capped,,EUR 1 m,12.00%,+8.03%,+27.29%,-
IE000BNLRWE6,Schroder Global Equity Active UCITS ETF,SAHE,679.0,equity,USD,Ireland,False,Accumulating,0.25,,Schroder Global Equity Active,,EUR 958 m,-,-,-,-
IE000BO2Y0T8,Xtrackers MSCI Nordic UCITS ETF 1C,XMN1,41.0,equity,EUR,Ireland,False,Accumulating,0.3,80.0,MSCI Nordic Countries,,EUR 46 m,14.84%,+13.50%,-,-
IE000BRM9046,Invesco Defence Innovation UCITS ETF Acc,IVDF,98.0,equity,USD,Ireland,False,Accumulating,0.35,56.0,S&P Kensho Global Future Defense,,EUR 149 m,24.30%,+79.35%,-,-
IE000BW2B3J3,First Trust Bloomberg Scarce Resources UCITS ETF Class A Accumulation,SCAR,1.0,equity,USD,Ireland,False,Accumulating,0.65,50.0,Bloomberg Scarce Resources,,EUR 1 m,13.96%,+30.45%,-,-
IE000BWKUES1,Global X Clean Water UCITS ETF,AKWA,21.0,equity,USD,Ireland,False,Accumulating,0.5,38.0,Solactive Global Clean Water Industry,,EUR 21 m,13.54%,+0.41%,+27.48%,-
IE000BXC49I6,JPMorgan Global Research Enhanced Index Equity SRI Paris Aligned UCITS ETF USD (acc),JGSC,213.0,equity,USD,Ireland,False,Accumulating,0.25,423.0,JP Morgan Global Research Enhanced Index Equity SRI Paris Aligned,,EUR 485 m,10.24%,+21.03%,-,-
